Week,angular: (Worldwide),react: (Worldwide),ember: (Worldwide),backbone: (Worldwide)
2012-03-18,17,18,18,11
2012-03-25,18,17,16,12
2012-04-01,18,15,17,10
2012-04-08,19,15,17,11
2012-04-15,19,17,16,12
2012-04-22,18,17,15,11
2012-04-29,17,18,15,11
2012-05-06,15,19,17,12
2012-05-13,15,17,16,12
2012-05-20,15,16,16,11
2012-05-27,13,14,15,12
2012-06-03,14,13,16,12
2012-06-10,14,16,15,10
2012-06-17,13,12,15,11
2012-06-24,13,12,14,10
2012-07-01,11,12,14,10
2012-07-08,11,14,14,11
2012-07-15,10,13,15,11
2012-07-22,11,13,15,11
2012-07-29,11,12,15,11
2012-08-05,11,13,15,11
2012-08-12,12,12,16,11
2012-08-19,11,13,16,11
2012-08-26,13,13,16,12
2012-09-02,15,16,17,12
2012-09-09,15,18,16,12
2012-09-16,17,20,17,13
2012-09-23,18,20,16,13
2012-09-30,17,20,15,13
2012-10-07,19,20,15,12
2012-10-14,21,20,16,13
2012-10-21,22,20,15,13
2012-10-28,22,18,16,12
2012-11-04,24,21,16,12
2012-11-11,24,19,15,13
2012-11-18,20,17,16,12
2012-11-25,24,20,16,13
2012-12-02,22,19,16,13
2012-12-09,19,23,17,12
2012-12-16,14,17,17,12
2012-12-23,8,11,19,9
2012-12-30,10,14,19,9
2013-01-06,14,17,18,12
2013-01-13,15,18,17,12
2013-01-20,16,18,17,12
2013-01-27,17,18,17,13
2013-02-03,18,19,16,13
2013-02-10,18,19,17,13
2013-02-17,19,20,17,13
2013-02-24,20,20,16,14
2013-03-03,21,21,16,13
2013-03-10,22,20,16,13
2013-03-17,23,22,16,13
2013-03-24,21,20,16,13
2013-03-31,24,20,18,13
2013-04-07,25,21,17,13
2013-04-14,25,22,16,13
2013-04-21,24,21,16,14
2013-04-28,23,21,17,13
2013-05-05,23,21,17,13
2013-05-12,21,19,15,14
2013-05-19,21,19,15,13
2013-05-26,22,19,16,13
2013-06-02,22,19,16,13
2013-06-09,21,16,16,14
2013-06-16,21,16,17,13
2013-06-23,20,16,19,13
2013-06-30,20,15,16,13
2013-07-07,20,17,17,14
2013-07-14,19,25,17,14
2013-07-21,21,17,17,13
2013-07-28,21,16,17,14
2013-08-04,21,17,17,13
2013-08-11,21,16,18,13
2013-08-18,22,18,19,13
2013-08-25,22,21,17,14
2013-09-01,25,19,18,14
2013-09-08,25,21,16,15
2013-09-15,25,21,17,15
2013-09-22,28,23,17,15
2013-09-29,29,23,17,15
2013-10-06,32,23,17,15
2013-10-13,32,24,18,15
2013-10-20,35,24,17,14
2013-10-27,36,24,18,15
2013-11-03,39,28,18,15
2013-11-10,39,25,27,15
2013-11-17,38,25,23,15
2013-11-24,32,19,20,14
2013-12-01,36,28,20,14
2013-12-08,35,23,21,15
2013-12-15,29,21,20,12
2013-12-22,18,14,19,10
2013-12-29,20,17,22,10
2014-01-05,26,20,20,13
2014-01-12,31,21,20,14
2014-01-19,31,20,20,14
2014-01-26,31,21,22,14
2014-02-02,33,23,20,14
2014-02-09,34,23,20,14
2014-02-16,36,23,22,14
2014-02-23,37,25,20,15
2014-03-02,38,26,20,14
2014-03-09,38,23,21,15
2014-03-16,40,24,24,14
2014-03-23,41,26,22,14
2014-03-30,43,25,21,14
2014-04-06,44,25,21,14
2014-04-13,40,30,21,13
2014-04-20,41,25,21,14
2014-04-27,39,26,23,14
2014-05-04,40,24,21,14
2014-05-11,41,27,21,14
2014-05-18,42,25,21,14
2014-05-25,40,26,21,13
2014-06-01,41,25,21,14
2014-06-08,41,21,21,14
2014-06-15,39,20,20,14
2014-06-22,39,21,20,13
2014-06-29,39,20,19,13
2014-07-06,40,24,19,13
2014-07-13,40,21,20,13
2014-07-20,40,21,19,13
2014-07-27,40,21,21,13
2014-08-03,40,20,21,14
2014-08-10,40,24,19,13
2014-08-17,42,21,20,13
2014-08-24,43,22,19,14
2014-08-31,45,23,20,13
2014-09-07,46,29,19,14
2014-09-14,47,29,19,14
2014-09-21,49,29,21,15
2014-09-28,49,30,20,14
2014-10-05,51,29,20,15
2014-10-12,52,29,20,14
2014-10-19,54,28,19,14
2014-10-26,58,29,21,14
2014-11-02,60,30,21,14
2014-11-09,58,30,21,14
2014-11-16,60,31,21,14
2014-11-23,55,26,19,13
2014-11-30,58,31,20,13
2014-12-07,58,30,20,14
2014-12-14,52,32,20,13
2014-12-21,35,25,19,10
2014-12-28,33,25,20,9
2015-01-04,46,28,21,12
2015-01-11,52,28,20,12
2015-01-18,52,30,21,13
2015-01-25,55,34,22,13
2015-02-01,57,33,20,13
2015-02-08,58,36,20,13
2015-02-15,57,32,22,13
2015-02-22,59,36,20,13
2015-03-01,61,35,22,13
2015-03-08,63,35,20,13
2015-03-15,63,34,20,13
2015-03-22,65,36,20,14
2015-03-29,62,34,20,13
2015-04-05,63,35,20,14
2015-04-12,65,35,20,13
2015-04-19,66,37,21,13
2015-04-26,64,36,19,13
2015-05-03,64,37,19,12
2015-05-10,64,35,23,13
2015-05-17,64,34,22,13
2015-05-24,62,31,20,12
2015-05-31,62,34,21,12
2015-06-07,64,32,22,12
2015-06-14,63,31,19,12
2015-06-21,63,30,18,12
2015-06-28,60,31,18,11
2015-07-05,62,32,20,11
2015-07-12,61,32,23,11
2015-07-19,62,30,19,11
2015-07-26,61,32,20,11
2015-08-02,61,31,20,11
2015-08-09,62,31,21,12
2015-08-16,61,31,21,12
2015-08-23,62,32,21,12
2015-08-30,65,33,23,12
2015-09-06,64,36,21,12
2015-09-13,64,41,20,12
2015-09-20,65,40,20,12
2015-09-27,67,41,23,12
2015-10-04,69,41,21,13
2015-10-11,70,40,20,12
2015-10-18,73,43,20,12
2015-10-25,76,42,21,13
2015-11-01,78,44,23,12
2015-11-08,74,43,20,11
2015-11-15,76,47,21,12
2015-11-22,70,40,20,11
2015-11-29,74,45,21,11
2015-12-06,74,45,22,11
2015-12-13,74,44,22,11
2015-12-20,54,36,20,8
2015-12-27,46,33,20,8
2016-01-03,63,43,22,10
2016-01-10,69,45,21,11
2016-01-17,73,46,21,12
2016-01-24,74,49,22,12
2016-01-31,73,74,21,12
2016-02-07,75,49,22,11
2016-02-14,76,48,21,11
2016-02-21,78,56,21,11
2016-02-28,79,53,21,11
2016-03-06,77,53,20,12
2016-03-13,80,51,20,12
2016-03-20,73,50,21,11
2016-03-27,79,49,21,11
2016-04-03,81,51,20,11
2016-04-10,86,53,24,12
2016-04-17,82,54,26,12
2016-04-24,81,53,23,11
2016-05-01,78,53,22,12
2016-05-08,79,52,21,11
2016-05-15,81,51,21,11
2016-05-22,79,52,21,12
2016-05-29,81,49,20,10
2016-06-05,81,47,20,10
2016-06-12,78,48,19,10
2016-06-19,79,48,18,9
2016-06-26,79,47,18,9
2016-07-03,76,46,18,9
2016-07-10,77,48,18,9
2016-07-17,76,48,18,9
2016-07-24,76,48,19,9
2016-07-31,77,48,22,10
2016-08-07,75,47,21,10
2016-08-14,73,48,21,10
2016-08-21,79,51,23,10
2016-08-28,80,51,21,10
2016-09-04,77,51,21,10
2016-09-11,85,56,23,11
2016-09-18,89,57,23,12
2016-09-25,88,58,21,11
2016-10-02,87,58,19,11
2016-10-09,85,59,21,10
2016-10-16,90,60,21,11
2016-10-23,90,63,22,11
2016-10-30,85,62,22,11
2016-11-06,88,74,22,10
2016-11-13,93,65,22,10
2016-11-20,86,55,22,9
2016-11-27,89,62,22,10
2016-12-04,87,60,26,10
2016-12-11,86,57,26,9
2016-12-18,76,52,22,8
2016-12-25,59,46,23,8
2017-01-01,74,52,24,22
2017-01-08,83,60,22,43
2017-01-15,85,62,22,37
2017-01-22,83,63,22,36
2017-01-29,88,66,22,34
2017-02-05,90,66,21,30
2017-02-12,91,66,21,29
2017-02-19,93,67,21,27
2017-02-26,96,72,21,26
2017-03-05,100,73,21,24
